atomic_number,ion_number,level_number_lower,level_number_upper,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0.0,9.0,1.3118775618897867e-12,1.3118664084554678e-12,1.3121733874780397e-12,1.3122845352040079e-12,1.3123106746463357e-12,1.312720179624574e-12,1.3130727681085594e-12,1.3133679964380197e-12,1.313454141022859e-12,1.313770839700946e-12,1.313869561396529e-12,1.314097953705056e-12,1.3141611923057029e-12,1.3144876449311927e-12,1.3146497688749084e-12,1.314690049589281e-12,1.3147172545132983e-12,1.315010604948e-12,1.3152092431750535e-12,1.3153587049644436e-12,1.315526062952278e-12,1.315723929520274e-12,1.3158924798533855e-12,1.31600915646548e-12
1,0,0.0,8.0,2.2376125753465e-12,2.237593358395876e-12,2.2381222950835412e-12,2.2383138188262593e-12,2.2383588618190126e-12,2.23906455886001e-12,2.239672241122616e-12,2.2401811129467196e-12,2.2403296049446532e-12,2.240875548071828e-12,2.241045740665509e-12,2.241439499857799e-12,2.2415485309504875e-12,2.242111407957188e-12,2.2423909660889612e-12,2.2424604261618785e-12,2.2425073388107808e-12,2.2430132216174666e-12,2.243355798336991e-12,2.2436135774413396e-12,2.2439022360189245e-12,2.244243534263978e-12,2.244534281056018e-12,2.2447355549995764e-12
1,0,0.0,7.0,4.06591347063927e-12,4.065878485137936e-12,4.0668414600743305e-12,4.0671901542973675e-12,4.067272161676325e-12,4.0685570201648685e-12,4.06966347416094e-12,4.070590052316133e-12,4.070860439828629e-12,4.071854565930214e-12,4.072164483042454e-12,4.072881524283776e-12,4.073080074974052e-12,4.074105124183439e-12,4.074614239416751e-12,4.074740737656858e-12,4.074826173668697e-12,4.075747491138469e-12,4.076371412839519e-12,4.07684090576922e-12,4.077366649494988e-12,4.077988281318937e-12,4.078517851719206e-12,4.078884461283197e-12
1,0,0.0,6.0,8.023112943950002e-12,8.023044049901935e-12,8.02494034623784e-12,8.025626991790993e-12,8.025788479579666e-12,8.028318584631652e-12,8.030497350181183e-12,8.032321892752898e-12,8.032854314172998e-12,8.034811838382167e-12,8.035422088538829e-12,8.03683398829922e-12,8.037224945126713e-12,8.039243306874866e-12,8.040245765575903e-12,8.040494842371406e-12,8.040663066859852e-12,8.042477140886742e-12,8.043705631608286e-12,8.044630048947223e-12,8.045665216409689e-12,8.046889175384032e-12,8.047931863502839e-12,8.0486536890659e-12
1,0,0.0,5.0,1.7741133092636318e-11,1.774097816196769e-11,1.7745242673508436e-11,1.774678688268589e-11,1.774715005825035e-11,1.775284024196232e-11,1.775774047841628e-11,1.7761844186066324e-11,1.7763041718358214e-11,1.7767444717838798e-11,1.7768817366658915e-11,1.7771993240803964e-11,1.7772872658548834e-11,1.7777412856064032e-11,1.7779667894056906e-11,1.778022820027715e-11,1.7780606628038205e-11,1.7784687531736668e-11,1.77874511928765e-11,1.778953083755519e-11,1.77918596743378e-11,1.7794613292867404e-11,1.779695914052366e-11,1.7798583133704542e-11
1,0,0.0,4.0,4.5570717021389887e-11,4.5570319890466153e-11,4.558125159173469e-11,4.5585210322131824e-11,4.558614138008897e-11,4.560073016455351e-11,4.56132953007091e-11,4.5623819169638046e-11,4.562689041882184e-11,4.563818335635148e-11,4.5641704219817915e-11,4.5649850846673766e-11,4.565210680924012e-11,4.566375453157979e-11,4.56695402496888e-11,4.5670977870176166e-11,4.5671948842688255e-11,4.5682420241805565e-11,4.568951227352313e-11,4.5694849327374945e-11,4.570082622337313e-11,4.570789376448883e-11,4.571391509419283e-11,4.571808377500491e-11
1,0,0.0,3.0,7.306519171129207e-11,7.306567687096263e-11,7.305222781230715e-11,7.304730925753404e-11,7.304614873616898e-11,7.302777952721204e-11,7.301167991483916e-11,7.299799773633508e-11,7.299397078344518e-11,7.29790318078062e-11,7.297433181080279e-11,7.296337971974053e-11,7.296032782823337e-11,7.294443940417097e-11,7.2936465552653e-11,7.29344758302123e-11,7.293313007565336e-11,7.2918520045439e-11,7.29085244709066e-11,7.290094890139111e-11,7.289241066452722e-11,7.28822402354268e-11,7.287351201492924e-11,7.286743520796964e-11
1,0,0.0,2.0,9.423292267027012e-10,9.423155540729364e-10,9.426923741833183e-10,9.428290674443706e-10,9.428612345584256e-10,9.43366161077795e-10,9.438024009280395e-10,9.441687337370078e-10,9.442758082047676e-10,9.446701604889852e-10,9.44793315911627e-10,9.450786497428564e-10,9.451577568582198e-10,9.455668312453938e-10,9.45770425669827e-10,9.458210551099302e-10,9.458552595501565e-10,9.462246058605135e-10,9.464752439584907e-10,9.46664119572179e-10,9.46875903477045e-10,9.471266933891668e-10,9.473406664450474e-10,9.474889697137483e-10
1,0,0.0,1.0,8.047226293973756e-09,8.04715336557956e-09,8.04916079112896e-09,8.049887719507893e-09,8.050058684476267e-09,8.052737437213137e-09,8.05504445448591e-09,8.056976571025934e-09,8.057540413291551e-09,8.059613574958986e-09,8.06025991115581e-09,8.06175536721709e-09,8.062169477161086e-09,8.064307481240231e-09,8.065369431733932e-09,8.065633297285373e-09,8.06581151157148e-09,8.067733393193309e-09,8.069034975053314e-09,8.070014436507914e-09,8.071111287602856e-09,8.072408240839046e-09,8.073513164365892e-09,8.074278101598832e-09
1,0,1.0,29.0,2.281896255750562e-13,2.2818960414537695e-13,2.281901985405312e-13,2.2819041612277567e-13,2.281904674784132e-13,2.28191281365955e-13,2.281919964971205e-13,2.281926057960395e-13,2.2819278542214937e-13,2.2819345306050075e-13,2.2819366354312166e-13,2.281941548722875e-13,2.2819429200554007e-13,2.281950075602596e-13,2.281953677420019e-13,2.2819545773388894e-13,2.2819551862667543e-13,2.2819618110958417e-13,2.2819663588270994e-13,2.2819698140893036e-13,2.2819737175227563e-13,2.281978380034947e-13,2.281982392828879e-13,2.2819851930099925e-13
1,0,1.0,28.0,2.703619954966677e-13,2.7036198113009047e-13,2.7036238251913597e-13,2.7036253093871667e-13,2.703625660848577e-13,2.7036312884582127e-13,2.703636320583915e-13,2.7036406704081564e-13,2.7036419634778956e-13,2.703646811377618e-13,2.7036483531803344e-13,2.703651976739223e-13,2.7036529941505724e-13,2.7036583449120535e-13,2.7036610644182135e-13,2.7036617465748377e-13,2.703662208758389e-13,2.703667268188957e-13,2.703670773705812e-13,2.7036734543430504e-13,2.7036765002425016e-13,2.7036801624327823e-13,2.703683334790807e-13,2.7036855595367654e-13
1,0,1.0,27.0,3.230374936537227e-13,3.2303748060352247e-13,3.2303784363165105e-13,3.230379770768045e-13,3.2303800861792215e-13,3.230385107828332e-13,3.230389556737621e-13,3.230393375016236e-13,3.2303945056306977e-13,3.2303987279708144e-13,3.2304000657296416e-13,3.230403200896508e-13,3.230404079066999e-13,3.230408683589167e-13,3.2304110155363495e-13,3.2304115996687637e-13,3.230411995259468e-13,3.230416316802489e-13,3.2304193022278194e-13,3.2304215807518794e-13,3.230424165489418e-13,3.2304272677100764e-13,3.2304299505718333e-13,3.2304318297905373e-13
1,0,1.0,26.0,3.882461044757741e-13,3.882460924205274e-13,3.8824642833825507e-13,3.8824655211483084e-13,3.8824658139408647e-13,3.8824704875615366e-13,3.8824746471376765e-13,3.8824782312769107e-13,3.882479295060919e-13,3.882483277838587e-13,3.882484542972298e-13,3.8824875140489324e-13,3.8824883477833685e-13,3.8824927301163787e-13,3.882494956378436e-13,3.8824955147497156e-13,3.8824958930554065e-13,3.8825000341725803e-13,3.8825029038250376e-13,3.8825050987823735e-13,3.882507593672489e-13,3.8825105948991676e-13,3.88251319633974e-13,3.882515021747071e-13
1,0,1.0,25.0,4.697449063523547e-13,4.697448842469208e-13,4.697455014131385e-13,4.697457294033324e-13,4.697457833761066e-13,4.697466468330147e-13,4.697474178705072e-13,4.697480837026601e-13,4.697482815315763e-13,4.697490228563709e-13,4.697492585156059e-13,4.697498121862809e-13,4.697499676032696e-13,4.697507847181914e-13,4.697511998737823e-13,4.697513039980658e-13,4.697513745430018e-13,4.697521466581776e-13,4.697526815198808e-13,4.697530904767588e-13,4.697535551199876e-13,4.6975411373845e-13,4.697545976187981e-13,4.697549369543024e-13
1,0,1.0,24.0,5.72275281019114e-13,5.722752806288778e-13,5.722753025192551e-13,5.722753162186781e-13,5.722753198920123e-13,5.722754002377187e-13,5.722755045236614e-13,5.722756175703588e-13,5.722756550641094e-13,5.722758107400175e-13,5.722758650772385e-13,5.722760015496232e-13,5.722760420208712e-13,5.722762697534799e-13,5.72276394728445e-13,5.722764270181995e-13,5.722764491067609e-13,5.722767017891393e-13,5.722768881552363e-13,5.722770366385835e-13,5.722772114199761e-13,5.722774298183788e-13,5.722776260331461e-13,5.722777674055449e-13
1,0,1.0,23.0,7.041034350652491e-13,7.041033932302875e-13,7.041045534540942e-13,7.041049781117126e-13,7.041050783415978e-13,7.04106666863342e-13,7.041080630588343e-13,7.041092532317328e-13,7.041096042421048e-13,7.041109095526205e-13,7.041113213145223e-13,7.041122830035534e-13,7.041125515543777e-13,7.041139539004121e-13,7.041146605078479e-13,7.041148371348225e-13,7.041149566676469e-13,7.041162581307081e-13,7.041171526604285e-13,7.04117832943925e-13,7.041186021550984e-13,7.041195219430419e-13,7.041203144522508e-13,7.041208679782697e-13
1,0,1.0,22.0,8.726897592756154e-13,8.72689649274398e-13,8.726927356453112e-13,8.726938833196941e-13,8.72694155567984e-13,8.726985376282259e-13,8.727024880975038e-13,8.727059234298999e-13,8.727069478788273e-13,8.727108003088142e-13,8.727120290223262e-13,8.72714922636373e-13,8.72715736467777e-13,8.727200252626453e-13,8.727222099899719e-13,8.727227584672573e-13,8.727231301786149e-13,8.727272040505916e-13,8.727300312186672e-13,8.727321951957326e-13,8.727346558757501e-13,8.7273761659015e-13,8.727401828231015e-13,8.727419831679151e-13
1,0,1.0,21.0,1.0964522808478165e-12,1.0964523323313134e-12,1.0964508990540783e-12,1.0964503718918223e-12,1.0964502472905513e-12,1.0964482648260751e-12,1.0964465133899733e-12,1.0964450164928961e-12,1.0964445746493622e-12,1.0964429311882652e-12,1.0964424128874956e-12,1.0964412031914003e-12,1.0964408656729927e-12,1.096439106120742e-12,1.0964382218724492e-12,1.0964380011329902e-12,1.0964378518173967e-12,1.096436230108846e-12,1.096435120246731e-12,1.0964342791318563e-12,1.096433331362591e-12,1.0964322029859133e-12,1.0964312353322937e-12,1.0964305621227238e-12
1,0,1.0,20.0,1.3892478533519696e-12,1.3892479191728232e-12,1.3892460935726246e-12,1.3892454255629705e-12,1.38924526793281e-12,1.389242772922493e-12,1.3892405878847012e-12,1.3892387337380195e-12,1.3892381886905866e-12,1.3892361699916046e-12,1.389235536098025e-12,1.3892340615666229e-12,1.389233651370037e-12,1.3892315212586132e-12,1.3892304559343912e-12,1.3892301905166896e-12,1.3892300110969562e-12,1.3892280684601958e-12,1.3892267452023444e-12,1.389225745664305e-12,1.3892246227337701e-12,1.389223290370513e-12,1.3892221516653778e-12,1.389221361537514e-12
1,0,1.0,19.0,1.7797292164667817e-12,1.779729301453308e-12,1.7797269361685989e-12,1.7797260665612442e-12,1.7797258610449196e-12,1.7797225924422847e-12,1.7797197065500303e-12,1.7797172412564564e-12,1.7797165137609595e-12,1.779713808513634e-12,1.7797129555756775e-12,1.7797109652293443e-12,1.7797104099921462e-12,1.7797075160274954e-12,1.7797060620464181e-12,1.7797056991166029e-12,1.7797054536263833e-12,1.7797027877544961e-12,1.779700963670511e-12,1.779699581469285e-12,1.7796980241876814e-12,1.7796961703881074e-12,1.7796945808312492e-12,1.7796934750532958e-12
1,0,1.0,18.0,2.3066416133198273e-12,2.3066417140356008e-12,2.3066389385958985e-12,2.3066379322049224e-12,2.30663769543119e-12,2.3066339827999643e-12,2.306630784157664e-12,2.306628107270519e-12,2.3066273267623377e-12,2.3066244608552e-12,2.306623568919502e-12,2.3066215087272036e-12,2.3066209392079707e-12,2.30661800670486e-12,2.306616555663738e-12,2.3066161957536578e-12,2.3066159528200665e-12,2.306613341136112e-12,2.3066115816076125e-12,2.3066102629437502e-12,2.306608792164116e-12,2.3066070617115397e-12,2.3066055953680373e-12,2.3066045847217686e-12
1,0,1.0,17.0,3.0361264942179113e-12,3.036126623775696e-12,3.0361230643119112e-12,3.036121779151649e-12,3.036121477218846e-12,3.036116764183002e-12,3.036112735862632e-12,3.0361093877573123e-12,3.036108415541321e-12,3.036104861368444e-12,3.036103760293813e-12,3.0361012263396693e-12,3.0361005281651717e-12,3.0360969492916897e-12,3.036095188528334e-12,3.0360947528477407e-12,3.0360944590082037e-12,3.0360913123081113e-12,3.036089205196889e-12,3.036087632988276e-12,3.036085886580255e-12,3.0360838417164097e-12,3.0360821175057745e-12,3.0360809338021257e-12
1,0,1.0,16.0,4.075630434518166e-12,4.075630621366226e-12,4.075625476937061e-12,4.075623613836614e-12,4.0756231756791005e-12,4.075616313814145e-12,4.0756104142933955e-12,4.075605485511908e-12,4.075604049815797e-12,4.075598783452359e-12,4.075597146106696e-12,4.0755933671224185e-12,4.075592323178478e-12,4.075586952642508e-12,4.075584298162599e-12,4.0755836400520315e-12,4.0755831959037355e-12,4.075578424356825e-12,4.075575213068067e-12,4.075572808140498e-12,4.075570127529589e-12,4.075566975961031e-12,4.075564307331809e-12,4.075562469055732e-12
1,0,1.0,15.0,5.56166118321463e-12,5.561661136713383e-12,5.561662544648822e-12,5.561663120602412e-12,5.561663261218602e-12,5.5616657242367635e-12,5.56166824398717e-12,5.561670644866831e-12,5.561671396256524e-12,5.561674359184825e-12,5.561675347984917e-12,5.561677756036607e-12,5.561678452785287e-12,5.5616822592683074e-12,5.5616842817923615e-12,5.561684798056943e-12,5.561685149846258e-12,5.561689103849324e-12,5.561691950060436e-12,5.561694182727148e-12,5.5616967765543444e-12,5.561699972467182e-12,5.5617028065352224e-12,5.561704829144696e-12
1,0,1.0,14.0,1.9250815200722927e-11,1.9250875531186738e-11,1.9249194805845774e-11,1.9248575912291474e-11,1.9248429562973718e-11,1.924609708889913e-11,1.9244028956085678e-11,1.924225469222578e-11,1.924172966803773e-11,1.9239771102866892e-11,1.9239151454257737e-11,1.923770128760989e-11,1.9237295657422347e-11,1.923517343219389e-11,1.923410189380682e-11,1.9233833853404313e-11,1.9233652415885793e-11,1.9231675112440243e-11,1.9230314535588614e-11,1.9229279263260778e-11,1.922810828546096e-11,1.9226707846449497e-11,1.922550123582792e-11,1.9224658618652645e-11
1,0,1.0,13.0,2.738181709525139e-11,2.7381902841721798e-11,2.7379513990296296e-11,2.7378634307813975e-11,2.7378426287216427e-11,2.7375110779699145e-11,2.737217082275847e-11,2.736964847801996e-11,2.7368902065373274e-11,2.7366117537830843e-11,2.7365236544108936e-11,2.7363174699763262e-11,2.7362597963166006e-11,2.7359580438432527e-11,2.7358056800193776e-11,2.7357675663842736e-11,2.735741767009292e-11,2.735460599789646e-11,2.735267123248489e-11,2.7351199023699463e-11,2.7349533802282935e-11,2.7347542225043298e-11,2.7345826255611542e-11,2.7344627915975364e-11
1,0,1.0,12.0,4.000188295120963e-11,4.000200749967251e-11,3.999853759841292e-11,3.999725980119387e-11,3.999695763567748e-11,3.999214152449628e-11,3.998787080931226e-11,3.9984206648004314e-11,3.9983122334061394e-11,3.997907719365293e-11,3.997779733825267e-11,3.997480198155201e-11,3.997396411633405e-11,3.9969580296965416e-11,3.996736674399234e-11,3.9966813023061725e-11,3.996643820493893e-11,3.9962353318853606e-11,3.9959542393433e-11,3.9957403474430937e-11,3.995498411498315e-11,3.995209057518943e-11,3.9949597441047256e-11,3.9947856360354815e-11
1,0,1.0,11.0,6.03685528974777e-11,6.036874048841004e-11,6.036351414857908e-11,6.036158949683646e-11,6.036113436393731e-11,6.035387999765975e-11,6.034744690683523e-11,6.034192731939512e-11,6.034029391239093e-11,6.033420022038658e-11,6.033227218350135e-11,6.03277597714047e-11,6.032649753876951e-11,6.031989327422684e-11,6.031655847482338e-11,6.03157242675628e-11,6.031515958461473e-11,6.030900542093752e-11,6.030477049437854e-11,6.030154797130411e-11,6.029790289463854e-11,6.029354335244936e-11,6.028978703642982e-11,6.02871637891831e-11
